title,price,timeStamp,link
Kara Black Nylon Office Bag,1149,2022-04-21 14:13:30.437241,https://www.snapdeal.com/product/kara-black-nylon-office-bag/674406970195
John Karsun Slip On Artificial Leather Black Formal Shoes,599,2022-04-21 14:14:37.343242,https://www.snapdeal.com/product/john-karsun-party-artificial-leather/5764608159554980966#bcrumbLabelId:253
Arizona Sunglasses Black polycarbonate Lens for Men & Women,229,2022-04-21 14:14:53.088334,https://www.snapdeal.com/product/resist-black-oversized-sunglasses-gc/641568081864#bcrumbLabelId:15
kabir singh sunglasses - Black Square Sunglasses ( HR2020004 ),339,2022-04-21 14:15:09.280008,https://www.snapdeal.com/product/kabir-singh-sunglasses-black-square/667798100671#bcrumbLabelId:15
Life Roads - White 100% Cotton Slim Fit Men's Casual Shirt (Pack of 1),825,2022-04-21 14:15:43.141051,https://www.snapdeal.com/product/life-roads-100-percent-cotton/621102251896#bcrumbLabelId:191
Vida Loca - Black 100% Cotton Slim Fit Men's Casual Shirt (Pack of 1),519,2022-04-21 14:16:05.868234,https://www.snapdeal.com/product/vida-loca-100-percent-cotton/8070451169606523767#bcrumbLabelId:191
ASIAN White Running Shoes,519,2022-04-21 14:17:59.327252,https://www.snapdeal.com/product/asian-white-mesh-textile-sport/662912850947
Chow Chow Black Sweatshirt Pack of 1,775,2022-04-21 14:23:37.138716,https://www.snapdeal.com/product/chow-chow-black-sweatshirt-pack/671029763860#bcrumbLabelId:358
Blowhot Ariel Black 60 cm 800 m3/hr 60 cm Straightline Chimney,5300,2022-04-26 18:09:39.150542,https://www.snapdeal.com/product/blowhot-ariel-black-60-cm/686979946240#bcrumbLabelId:232
Mamaearth Ubtan Natural Face Wash for All Skin Type with Turmeric & Saffron for Tan removal and Skin brightening 100 ml - SLS & Paraben Free,224,2022-04-26 18:13:34.854308,https://www.snapdeal.com/product/mamaearth-lotion-100-gm/641300382044#bcrumbSearch:face%20wash
